GUEST,,,
GuestShowDateTime,Club,MetricToShow,Sum of Number_Guest
45810,SCT,OL,9
45810,SCT,PNS,1
45810,SCT,Sales,5
45810,SCT,TM,2
45810,TCM,Media,1
45810,TCM,OL,10
45810,TCM,Sales,6
45810,TCM,TM,1
45810,TDC,Media,3
45810,TDC,OL,1
45810,TDC,Sales,8
45810,TDC,TM,1
45810,TDU,Media,3
45810,TDU,PNS,2
45810,TDU,Sales,3
45810,VMC,OL,3
45810,VMC,PNS,1
45810,VSC,OL,2
45810,VSC,Sales,9
45810,VSC,TM,1
45810,VTC,OL,3
45810,VTC,PNS,1
45810,VTC,Sales,7
45810,VTC,TM,1
45810,VVO,OL,3
45810,VVO,PNS,1
45810,VVO,Sales,13
45810,VVO,TM,1
45810,WPC,LWT (Live Well Together),1
45810,WPC,Sales,10
45811,AMU,Media,1
45811,AMU,OL,15
45811,AMU,PNS,1
45811,AMU,Sales,5
45811,AMY,Media,4
45811,AMY,OL,3
45811,AMY,Sales,4
45811,AMY,TM,1
45811,BDS,OL,7
45811,BDS,Sales,5
45811,CPT,OL,4
45811,CPT,Sales,7
45811,CTC,Media,2
45811,CTC,OL,3
45811,CTC,Sales,11
45811,CVC,LWT (Live Well Together),1
45811,CVC,OL,6
45811,CVC,Sales,2
45811,CVC,TM,3
45811,DNG,OL,12
45811,DNG,Sales,2
45811,DNG,TM,2
45811,FDC,Media,2
45811,FDC,Sales,6
45811,GDC,OL,1
45811,GDC,Sales,3
45811,GDC,TM,3
45811,GMC,OL,4
45811,GMC,Sales,6
45811,GVC,Media,1
45811,GVC,OL,4
45811,GVC,Sales,2
45811,GVC,TM,1
45811,HDC,OL,4
45811,HDC,PNS,1
45811,HDC,Sales,2
45811,HDC,TM,1
45811,HDY,OL,8
45811,HDY,Sales,7
45811,HDY,TM,1
45811,HVP,OL,3
45811,HVP,Sales,17
45811,HVP,TM,1
45811,JVJ,OL,1
45811,JVJ,Sales,2
45811,LMC,OL,3
45811,LMC,Sales,9
45811,LTC,Media,2
45811,LTC,OL,3
45811,LTC,Sales,5
45811,MAC,LWT (Live Well Together),1
45811,MAC,OL,9
45811,MAC,Sales,1
45811,MAC,TM,1
45811,MPC,Media,1
45811,MPC,OL,3
45811,MPC,Sales,8
45811,MPC,TM,2
45811,NTC,Media,1
45811,NTC,OL,13
45811,NTC,Sales,9
45811,NTC,TM,1
45811,PBH,Sales,10
45811,PCH,OL,8
45811,PCH,PNS,3
45811,PCH,Sales,2
45811,PCH,TM,2
45811,PCO,Media,2
45811,PCO,OL,7
45811,PCO,Sales,4
45811,PPC,Media,1
45811,PPC,OL,1
45811,PPC,Sales,2
45811,PPC,TM,1
45811,RCC,Media,1
45811,RCC,OL,1
45811,RCC,Sales,4
45811,RCC,TM,3
45811,SCC,Media,1
45811,SCC,OL,2
45811,SCC,Sales,13
45811,SCC,TM,1
45811,SCT,OL,6
45811,SCT,PNS,3
45811,SCT,Sales,11
45811,SCT,TM,4
45811,TCM,LWT (Live Well Together),1
45811,TCM,OL,7
45811,TCM,Sales,5
45811,TCM,TM,2
45811,TDC,Media,1
45811,TDC,OL,9
45811,TDC,PNS,1
45811,TDC,Sales,11
45811,TDC,TM,5
45811,TDU,Media,1
45811,TDU,OL,3
45811,TDU,PNS,1
45811,TDU,Sales,4
45811,TDU,TM,2
45811,VMC,OL,1
45811,VMC,Sales,2
45811,VSC,OL,8
45811,VSC,Sales,11
45811,VSC,TM,3
45811,VTC,LWT (Live Well Together),1
45811,VTC,Media,2
45811,VTC,OL,4
45811,VTC,TM,1
45811,VVO,OL,2
45811,VVO,PNS,1
45811,VVO,Sales,11
45811,VVO,TM,2
45811,WPC,OL,3
45811,WPC,PNS,1
45811,WPC,Sales,9
45811,WPC,TM,3
45812,AMU,Media,2
45812,AMU,OL,4
45812,AMU,TM,2
45812,AMY,Media,1
45812,AMY,OL,1
45812,AMY,Sales,4
45812,BDS,OL,1
45812,BDS,Sales,3
45812,BDS,TM,1
45812,CPT,OL,4
45812,CPT,PNS,2
45812,CPT,Sales,4
45812,CPT,TM,1
45812,CTC,OL,5
45812,CTC,Sales,7
45812,CTC,TM,2
45812,CVC,Media,4
45812,CVC,OL,8
45812,CVC,Sales,4
45812,DNG,Media,2
45812,DNG,OL,5
45812,DNG,Sales,23
45812,DNG,TM,5
45812,FDC,Sales,6
45812,GDC,Media,1
45812,GDC,OL,1
45812,GDC,Sales,2
45812,GDC,TM,1
45812,GMC,Media,1
45812,GMC,OL,2
45812,GMC,PNS,1
45812,GMC,Sales,4
45812,GMC,TM,2
45812,GVC,OL,3
45812,GVC,PNS,2
45812,GVC,Sales,6
45812,GVC,TM,1
45812,HDC,Sales,1
45812,HDY,Media,2
45812,HDY,OL,6
45812,HDY,Sales,3
45812,HDY,TM,1
45812,HVP,Media,1
45812,HVP,OL,5
45812,HVP,Sales,9
45812,HVP,TM,2
45812,JVJ,Sales,3
45812,LMC,PNS,2
45812,LMC,Sales,3
45812,LTC,Media,5
45812,LTC,OL,5
45812,LTC,Sales,11
45812,LTC,TM,2
45812,MAC,OL,9
45812,MAC,PNS,1
45812,MAC,Sales,3
45812,MAC,TM,1
45812,MPC,LWT (Live Well Together),2
45812,MPC,OL,6
45812,MPC,PNS,1
45812,MPC,Sales,11
45812,MPC,TM,1
45812,NTC,OL,5
45812,NTC,TM,4
45812,PBH,OL,3
45812,PBH,Sales,7
45812,PCH,OL,17
45812,PCH,Sales,8
45812,PCH,TM,4
45812,PCO,LWT (Live Well Together),1
45812,PCO,Media,2
45812,PCO,OL,3
45812,PCO,Sales,1
45812,PCO,TM,2
45812,PPC,Sales,4
45812,PPC,TM,2
45812,RCC,OL,3
45812,RCC,Sales,2
45812,RCC,TM,4
45812,SCC,LWT (Live Well Together),2
45812,SCC,Media,1
45812,SCC,OL,5
45812,SCC,Sales,5
45812,SCC,TM,5
45812,SCT,OL,10
45812,SCT,PNS,1
45812,SCT,Sales,18
45812,SCT,TM,5
45812,TCM,LWT (Live Well Together),1
45812,TCM,OL,2
45812,TCM,Sales,12
45812,TDC,OL,6
45812,TDC,Sales,10
45812,TDC,TM,1
45812,TDU,Media,4
45812,TDU,OL,4
45812,TDU,Sales,14
45812,VMC,LWT (Live Well Together),1
45812,VMC,Sales,1
45812,VSC,Media,1
45812,VSC,Sales,6
45812,VTC,Media,1
45812,VTC,OL,2
45812,VTC,Sales,3
45812,VVO,LWT (Live Well Together),3
45812,VVO,Media,1
45812,VVO,OL,1
45812,VVO,Sales,13
45812,VVO,TM,8
45812,WPC,OL,2
45812,WPC,PNS,1
45812,WPC,Sales,9
45813,AMU,OL,6
45813,AMU,Sales,9
45813,AMY,Media,3
45813,AMY,OL,4
45813,AMY,PNS,1
45813,AMY,Sales,2
45813,AMY,TM,1
45813,BDS,Media,1
45813,BDS,OL,8
45813,BDS,Sales,7
45813,BDS,TM,2
45813,CPT,OL,7
45813,CPT,Sales,4
45813,CPT,TM,2
45813,CTC,Media,3
45813,CTC,OL,3
45813,CTC,Sales,10
45813,CTC,TM,5
45813,CVC,Sales,1
45813,DNG,Media,2
45813,DNG,OL,5
45813,DNG,Sales,9
45813,DNG,TM,7
45813,FDC,PNS,1
45813,FDC,Sales,8
45813,FDC,TM,1
45813,GDC,OL,4
45813,GDC,PNS,1
45813,GDC,Sales,2
45813,GDC,TM,1
45813,GMC,Media,1
45813,GMC,OL,3
45813,GMC,Sales,11
45813,GVC,Media,3
45813,GVC,OL,3
45813,GVC,Sales,8
45813,HDC,OL,10
45813,HDC,Sales,4
45813,HDC,TM,1
45813,HDY,Media,1
45813,HDY,OL,9
45813,HDY,Sales,10
45813,HVP,Media,1
45813,HVP,OL,3
45813,HVP,Sales,13
45813,HVP,TM,3
45813,JVJ,Sales,6
45813,JVJ,TM,1
45813,LMC,Media,1
45813,LMC,OL,1
45813,LMC,Sales,12
45813,LMC,TM,2
45813,LTC,Media,1
45813,LTC,OL,4
45813,LTC,Sales,5
45813,LTC,TM,1
45813,MAC,OL,10
45813,MAC,PNS,1
45813,MAC,Sales,3
45813,MAC,TM,1
45813,MPC,LWT (Live Well Together),1
45813,MPC,Media,1
45813,MPC,OL,5
45813,MPC,Sales,9
45813,MPC,TM,1
45813,NTC,LWT (Live Well Together),1
45813,NTC,Media,1
45813,NTC,OL,4
45813,NTC,Sales,6
45813,NTC,TM,5
45813,PBH,OL,6
45813,PBH,Sales,6
45813,PCH,OL,11
45813,PCH,PNS,1
45813,PCH,Sales,1
45813,PCH,TM,2
45813,PCO,Media,1
45813,PCO,OL,4
45813,PCO,Sales,12
45813,PCO,TM,1
45813,PPC,OL,1
45813,PPC,Sales,10
45813,PPC,TM,3
45813,RCC,OL,7
45813,RCC,PNS,1
45813,RCC,Sales,1
45813,RCC,TM,2
45813,SCC,OL,6
45813,SCC,PNS,1
45813,SCC,Sales,4
45813,SCC,TM,1
45813,SCT,OL,11
45813,SCT,PNS,2
45813,SCT,Sales,10
45813,SCT,TM,1
45813,TCM,LWT (Live Well Together),1
45813,TCM,OL,12
45813,TCM,Sales,14
45813,TCM,TM,1
45813,TDC,OL,5
45813,TDC,Sales,10
45813,TDC,TM,4
45813,TDU,Media,3
45813,TDU,OL,1
45813,TDU,Sales,9
45813,TDU,TM,1
45813,VMC,Media,1
45813,VMC,Sales,3
45813,VMC,TM,1
45813,VSC,OL,4
45813,VSC,PNS,2
45813,VSC,Sales,7
45813,VTC,OL,5
45813,VTC,TM,3
45813,VVO,Media,1
45813,VVO,Sales,17
45813,VVO,TM,3
45813,WPC,OL,5
45813,WPC,PNS,1
45813,WPC,Sales,17
45813,WPC,TM,1
45814,AMU,Media,2
45814,AMU,OL,6
45814,AMU,Sales,3
45814,AMY,Media,2
45814,AMY,OL,3
45814,AMY,PNS,1
45814,AMY,Sales,9
45814,AMY,TM,4
45814,BDS,Media,1
45814,BDS,OL,5
45814,BDS,Sales,4
45814,BDS,TM,1
45814,CPT,OL,2
45814,CPT,Sales,12
45814,CTC,LWT (Live Well Together),1
45814,CTC,Sales,11
45814,CVC,Media,4
45814,CVC,OL,17
45814,CVC,Sales,3
45814,CVC,TM,1
45814,DNG,OL,13
45814,DNG,Sales,8
45814,FDC,OL,3
45814,FDC,PNS,1
45814,FDC,Sales,3
45814,FDC,TM,1
45814,GDC,Media,1
45814,GDC,OL,1
45814,GDC,Sales,2
45814,GDC,TM,1
45814,GMC,OL,3
45814,GMC,Sales,1
45814,GVC,Media,1
45814,GVC,OL,7
45814,GVC,PNS,1
45814,GVC,Sales,8
45814,GVC,TM,4
45814,HDC,OL,1
45814,HDC,PNS,1
45814,HDC,Sales,2
45814,HDC,TM,1
45814,HDY,Media,2
45814,HDY,OL,3
45814,HDY,Sales,1
45814,HDY,TM,3
45814,HVP,Media,3
45814,HVP,OL,3
45814,HVP,Sales,15
45814,HVP,TM,1
45814,JVJ,Media,1
45814,JVJ,OL,1
45814,JVJ,Sales,2
45814,LMC,OL,4
45814,LMC,Sales,6
45814,LTC,Media,3
45814,LTC,OL,2
45814,LTC,Sales,6
45814,LTC,TM,3
45814,MAC,LWT (Live Well Together),1
45814,MAC,OL,6
45814,MAC,PNS,3
45814,MAC,Sales,2
45814,MAC,TM,2
45814,MPC,OL,7
45814,MPC,PNS,1
45814,MPC,Sales,9
45814,MPC,TM,1
45814,NTC,Media,1
45814,NTC,OL,5
45814,NTC,Sales,10
45814,NTC,TM,1
45814,PBH,Media,2
45814,PBH,OL,4
45814,PBH,Sales,3
45814,PCH,OL,9
45814,PCH,PNS,2
45814,PCH,Sales,3
45814,PCH,TM,1
45814,PCO,OL,2
45814,PCO,PNS,1
45814,PCO,Sales,3
45814,PPC,Media,1
45814,PPC,OL,1
45814,PPC,Sales,3
45814,RCC,OL,6
45814,SCC,Sales,3
45814,SCT,OL,3
45814,SCT,PNS,2
45814,SCT,Sales,13
45814,SCT,TM,1
45814,TCM,Media,3
45814,TCM,OL,7
45814,TCM,Sales,4
45814,TCM,TM,2
45814,TDC,OL,8
45814,TDC,Sales,3
45814,TDC,TM,4
45814,TDU,Media,3
45814,TDU,OL,1
45814,TDU,Sales,8
45814,TDU,TM,2
45814,VMC,OL,2
45814,VMC,Sales,3
45814,VSC,OL,8
45814,VSC,PNS,1
45814,VSC,Sales,7
45814,VTC,Media,2
45814,VTC,OL,9
45814,VTC,PNS,1
45814,VTC,Sales,4
45814,VVO,Media,4
45814,VVO,OL,3
45814,VVO,Sales,16
45814,VVO,TM,3
45814,WPC,Media,1
45814,WPC,OL,2
45814,WPC,Sales,9
45814,WPC,TM,2
45815,AMU,Media,2
45815,AMU,OL,6
45815,AMU,Sales,5
45815,AMU,TM,3
45815,AMY,Media,17
45815,AMY,OL,2
45815,AMY,Sales,8
45815,AMY,TM,35
45815,BDS,OL,1
45815,BDS,Sales,4
45815,CPT,OL,2
45815,CPT,Sales,2
45815,CTC,Media,5
45815,CTC,OL,1
45815,CTC,Sales,4
45815,CTC,TM,2
45815,CVC,LWT (Live Well Together),2
45815,CVC,Media,2
45815,CVC,OL,2
45815,CVC,Sales,1
45815,DNG,OL,8
45815,DNG,Sales,13
45815,DNG,TM,2
45815,FDC,Media,2
45815,FDC,OL,1
45815,FDC,Sales,4
45815,GDC,OL,4
45815,GMC,OL,3
45815,GMC,PNS,1
45815,GMC,Sales,12
45815,GVC,Media,1
45815,GVC,OL,6
45815,GVC,Sales,2
45815,HDC,Sales,1
45815,HDY,OL,1
45815,HVP,OL,4
45815,HVP,PNS,1
45815,HVP,Sales,8
45815,JVJ,Media,1
45815,JVJ,TM,1
45815,LMC,OL,2
45815,LMC,PNS,1
45815,LMC,Sales,11
45815,LMC,TM,1
45815,LTC,OL,2
45815,LTC,Sales,6
45815,LTC,TM,1
45815,MAC,OL,12
45815,MAC,PNS,1
45815,MAC,Sales,4
45815,MAC,TM,2
45815,MPC,OL,3
45815,MPC,PNS,1
45815,MPC,Sales,17
45815,NTC,Media,2
45815,NTC,OL,12
45815,NTC,PNS,3
45815,NTC,Sales,6
45815,NTC,TM,4
45815,PBH,OL,5
45815,PBH,Sales,1
45815,PBH,TM,1
45815,PCH,Media,1
45815,PCH,OL,6
45815,PCH,Sales,1
45815,PCO,OL,2
45815,PCO,Sales,13
45815,PCO,TM,2
45815,PPC,Media,1
45815,PPC,OL,4
45815,PPC,Sales,3
45815,RCC,LWT (Live Well Together),1
45815,RCC,OL,3
45815,RCC,Sales,4
45815,SCC,Media,1
45815,SCC,OL,2
45815,SCC,Sales,5
45815,SCT,OL,7
45815,SCT,Sales,8
45815,SCT,TM,2
45815,TCM,LWT (Live Well Together),1
45815,TCM,OL,4
45815,TCM,Sales,4
45815,TCM,TM,4
45815,TDC,OL,1
45815,TDC,Sales,5
45815,TDC,TM,2
45815,TDU,Media,1
45815,TDU,OL,2
45815,TDU,Sales,7
45815,TDU,TM,1
45815,TDY,Sales,2
45815,VMC,Sales,1
45815,VSC,OL,5
45815,VSC,PNS,1
45815,VSC,Sales,6
45815,VTC,OL,4
45815,VTC,Sales,10
45815,VVO,Media,2
45815,VVO,OL,1
45815,VVO,Sales,14
45815,WPC,LWT (Live Well Together),1
45815,WPC,OL,2
45815,WPC,PNS,1
45815,WPC,Sales,10
45815,WPC,TM,2
45816,AMU,Media,5
45816,AMU,OL,1
45816,AMU,Sales,4
45816,AMU,TM,1
45816,AMY,Media,11
45816,AMY,PNS,1
45816,AMY,Sales,8
45816,AMY,TM,16
45816,BDS,Media,1
45816,BDS,OL,5
45816,BDS,Sales,3
45816,CPT,Media,1
45816,CPT,OL,3
45816,CPT,Sales,6
45816,CTC,Media,2
45816,CTC,OL,2
45816,CTC,PNS,1
45816,CTC,Sales,5
45816,CTC,TM,1
45816,CVC,OL,6
45816,CVC,Sales,1
45816,CVC,TM,2
45816,DNG,OL,4
45816,DNG,Sales,7
45816,DNG,TM,2
45816,FDC,OL,1
45816,FDC,Sales,5
45816,FDC,TM,1
45816,GDC,Sales,2
45816,GMC,OL,1
45816,GMC,Sales,11
45816,GVC,OL,3
45816,GVC,Sales,7
45816,GVC,TM,3
45816,HDC,OL,4
45816,HDC,Sales,1
45816,HDY,Media,2
45816,HDY,OL,6
45816,HDY,Sales,2
45816,HVP,Media,1
45816,HVP,OL,2
45816,HVP,Sales,5
45816,JVJ,Media,2
45816,LMC,Sales,17
45816,LTC,Media,1
45816,LTC,OL,3
45816,LTC,Sales,6
45816,LTC,TM,2
45816,MAC,OL,3
45816,MAC,PNS,4
45816,MAC,Sales,3
45816,MAC,TM,3
45816,MPC,OL,1
45816,MPC,Sales,7
45816,MPC,TM,1
45816,NTC,Media,2
45816,NTC,OL,1
45816,NTC,Sales,9
45816,NTC,TM,1
45816,PBH,Media,1
45816,PBH,OL,7
45816,PBH,Sales,8
45816,PCH,OL,3
45816,PCH,Sales,1
45816,PCH,TM,1
45816,PCO,OL,1
45816,PCO,Sales,10
45816,PCO,TM,2
45816,PPC,Media,3
45816,PPC,OL,3
45816,PPC,TM,2
45816,RCC,LWT (Live Well Together),1
45816,RCC,OL,6
45816,RCC,PNS,1
45816,RCC,Sales,9
45816,RCC,TM,2
45816,SCC,Sales,9
45816,SCC,TM,1
45816,SCT,OL,3
45816,SCT,PNS,1
45816,SCT,Sales,7
45816,TCM,Media,3
45816,TCM,OL,13
45816,TCM,PNS,1
45816,TCM,Sales,1
45816,TDC,Media,1
45816,TDC,OL,2
45816,TDC,PNS,1
45816,TDC,Sales,12
45816,TDU,PNS,1
45816,TDU,Sales,7
45816,VMC,Media,1
45816,VMC,OL,1
45816,VMC,Sales,1
45816,VSC,Media,1
45816,VSC,OL,5
45816,VSC,Sales,12
45816,VSC,TM,1
45816,VTC,Media,3
45816,VTC,OL,6
45816,VTC,PNS,1
45816,VTC,Sales,2
45816,VTC,TM,1
45816,VVO,Media,2
45816,VVO,OL,2
45816,VVO,PNS,1
45816,VVO,Sales,6
45816,VVO,TM,1
45816,WPC,OL,3
45816,WPC,PNS,2
45816,WPC,Sales,4
45817,AMU,Media,3
45817,AMU,OL,3
45817,AMU,PNS,1
45817,AMU,Sales,13
45817,AMY,Media,8
45817,AMY,OL,3
45817,AMY,Sales,2
45817,AMY,TM,15
45817,BDS,OL,4
45817,BDS,Sales,5
45817,BDS,TM,1
45817,CPT,OL,6
45817,CPT,Sales,6
45817,CPT,TM,1
45817,CTC,LWT (Live Well Together),1
45817,CTC,Media,2
45817,CTC,OL,5
45817,CTC,Sales,10
45817,CVC,Media,2
45817,CVC,OL,10
45817,CVC,Sales,1
45817,DNG,OL,16
45817,DNG,Sales,14
45817,DNG,TM,5
45817,FDC,Media,1
45817,FDC,Sales,11
45817,FDC,TM,1
45817,GDC,LWT (Live Well Together),1
45817,GDC,Media,2
45817,GDC,OL,7
45817,GDC,PNS,1
45817,GDC,Sales,6
45817,GDC,TM,1
45817,GMC,Sales,9
45817,GMC,TM,1
45817,GVC,Media,2
45817,GVC,OL,4
45817,GVC,Sales,14
45817,GVC,TM,1
45817,HDC,Media,2
45817,HDC,OL,1
45817,HDC,Sales,1
45817,HDY,OL,4
45817,HDY,Sales,5
45817,HVP,OL,1
45817,HVP,Sales,12
45817,JVJ,Media,2
45817,JVJ,OL,3
45817,JVJ,Sales,2
45817,LMC,OL,1
45817,LMC,PNS,3
45817,LMC,Sales,8
45817,LMC,TM,3
45817,LTC,Media,3
45817,LTC,OL,1
45817,LTC,Sales,10
45817,MAC,OL,10
45817,MAC,Sales,4
45817,MPC,LWT (Live Well Together),2
45817,MPC,Media,2
45817,MPC,OL,7
45817,MPC,PNS,1
45817,MPC,Sales,9
45817,MPC,TM,3
45817,NTC,LWT (Live Well Together),2
45817,NTC,Media,1
45817,NTC,OL,10
45817,NTC,Sales,8
45817,NTC,TM,2
45817,PBH,OL,5
45817,PBH,Sales,5
45817,PCH,Media,2
45817,PCH,OL,26
45817,PCH,Sales,2
45817,PCH,TM,1
45817,PCO,Media,1
45817,PCO,OL,3
45817,PCO,Sales,10
45817,PPC,Media,2
45817,PPC,OL,3
45817,PPC,PNS,1
45817,PPC,Sales,3
45817,PPC,TM,1
45817,RCC,OL,8
45817,RCC,Sales,2
45817,RCC,TM,3
45817,SCC,LWT (Live Well Together),1
45817,SCC,Media,1
45817,SCC,OL,3
45817,SCC,Sales,8
45817,SCC,TM,1
45817,SCT,OL,5
45817,SCT,PNS,3
45817,SCT,Sales,16
45817,TCM,Media,3
45817,TCM,OL,5
45817,TCM,PNS,3
45817,TCM,Sales,7
45817,TCM,TM,3
45817,TDC,OL,6
45817,TDC,Sales,11
45817,TDC,TM,4
45817,TDU,OL,1
45817,TDU,PNS,1
45817,TDU,Sales,5
45817,TDU,TM,2
45817,VMC,Sales,3
45817,VMC,TM,1
45817,VSC,Media,1
45817,VSC,OL,4
45817,VSC,PNS,1
45817,VSC,Sales,14
45817,VSC,TM,3
45817,VTC,Media,1
45817,VTC,OL,2
45817,VTC,Sales,5
45817,VTC,TM,1
45817,VVO,Media,6
45817,VVO,PNS,1
45817,VVO,Sales,11
45817,VVO,TM,1
45817,WPC,OL,11
45817,WPC,Sales,6
45818,AMU,Media,1
45818,AMU,PNS,2
45818,AMU,Sales,17
45818,AMY,Media,3
45818,AMY,Sales,8
45818,AMY,TM,21
45818,BDS,OL,2
45818,BDS,PNS,1
45818,BDS,Sales,3
45818,CPT,OL,7
45818,CPT,Sales,5
45818,CPT,TM,2
45818,CTC,Media,1
45818,CTC,OL,4
45818,CTC,PNS,2
45818,CTC,Sales,5
45818,CVC,LWT (Live Well Together),2
45818,CVC,OL,3
45818,CVC,Sales,3
45818,DNG,OL,7
45818,DNG,PNS,1
45818,DNG,Sales,13
45818,DNG,TM,3
45818,FDC,Media,1
45818,FDC,OL,2
45818,FDC,Sales,6
45818,GDC,Media,9
45818,GMC,OL,1
45818,GMC,PNS,1
45818,GMC,Sales,2
45818,GVC,Media,1
45818,GVC,OL,1
45818,GVC,Sales,6
45818,GVC,TM,2
45818,HDC,OL,5
45818,HDC,Sales,5
45818,HDC,TM,3
45818,HDY,Media,1
45818,HDY,OL,4
45818,HDY,Sales,4
45818,HVP,OL,7
45818,HVP,Sales,15
45818,HVP,TM,1
45818,JVJ,Media,1
45818,JVJ,OL,2
45818,LMC,LWT (Live Well Together),1
45818,LMC,Media,1
45818,LMC,Sales,8
45818,LTC,Media,1
45818,LTC,OL,2
45818,LTC,Sales,3
45818,LTC,TM,1
45818,MAC,OL,8
45818,MAC,Sales,2
45818,MAC,TM,2
45818,MPC,LWT (Live Well Together),1
45818,MPC,OL,9
45818,MPC,Sales,16
45818,NTC,Media,2
45818,NTC,OL,7
45818,NTC,PNS,1
45818,NTC,Sales,5
45818,NTC,TM,1
45818,PBH,OL,5
45818,PBH,Sales,3
45818,PCH,LWT (Live Well Together),2
45818,PCH,OL,15
45818,PCH,Sales,1
45818,PCO,Sales,5
45818,PCO,TM,1
45818,PPC,OL,3
45818,PPC,Sales,5
45818,RCC,OL,10
45818,RCC,Sales,2
45818,RCC,TM,3
45818,SCC,Media,1
45818,SCC,OL,3
45818,SCC,Sales,8
45818,SCC,TM,1
45818,SCT,OL,7
45818,SCT,PNS,1
45818,SCT,Sales,14
45818,SCT,TM,6
45818,TCM,OL,7
45818,TCM,Sales,7
45818,TDC,OL,4
45818,TDC,Sales,8
45818,TDC,TM,1
45818,TDU,Media,2
45818,TDU,OL,2
45818,TDU,Sales,9
45818,VMC,Sales,2
45818,VSC,OL,4
45818,VSC,PNS,1
45818,VSC,Sales,7
